; eventmsg.txt

;REQUESTS,   _P=Pharaoh is requestor, _C=city itself is requestor
;Requests for troops
;*****Egyptian city under attack**********************
PHRASE_egyptian_city_attacked_title_P						"tubgtncrbq ujhjl fnfrjdfy "
PHRASE_egyptian_city_attacked_title_C						"tubgtncrbq ujhjl fnfrjdfy "
PHRASE_egyptian_city_attacked_initial_announcement_P		"[greeting] [player_name],[reason_phrase] zpsxybrb fnfreEn. dctcbkmysq afhfjy ghbrfpsdftn dfv jnghfdbnm djqcrf d tubgtncrbq ujhjl [city_name] b chfpbnmcz c dhfujv. yf dsgjkytybt ghbrfpf dfv lftncz [travel_time] vtczwtd."
PHRASE_egyptian_city_attacked_initial_announcement_C 	 	"[greeting] [player_name], [reason_phrase] ysyxt [city_name], tubgtncrbq ujhjl, fnfrjdfy b yeClftncz d dfitq gjvjob. dfv lftncz [travel_time] vtczwtd."
PHRASE_egyptian_city_attacked_first_reminder_P				"[greeting] [player_name], fhvbz FjCtcndtyyjuj afhfjyf dct tot chfCftncz d ujhjlt [city_name].  gjikbnt nelf gjlrhtgktybt d FkbCfqibt 6 vtczwtd - bkb hbcretnt bcgsnfnm yf ctFt uytd afhfjyf."
PHRASE_egyptian_city_attacked_first_reminder_C				"[greeting] [player_name], ds pfFskb [city_name]? dsikbnt nelf djqcrf d FkbCfqibt 6 vtczwtd - bkb gjcktlcndbz vjuen Fsnm cnhfiysvb."
PHRASE_egyptian_city_attacked_last_reminder_P				"[greeting] [player_name], afhfjy c ytnthgtybtv Cltn dfib djqcrf. gjikbnt djqcrf d [city_name] rfr vjCyj crjhtq - bkb vjCtn Fsnm ckbirjv gjplyj."
PHRASE_egyptian_city_attacked_last_reminder_C				"[greeting] [player_name], [city_name] vjCtn crjhj gfcnm gjl elfhfvb dhfujd. dsikbnt djqcrf crjhtt, tckb ds Ajnbnt gjvjxm ujhjle [city_name] d nhelysq lkz ytuj xfc."
PHRASE_egyptian_city_attacked_comply_reason_P_A 		 	"dfib djqcrf dsFbkb dhfujd afhfjyf bp [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_P_B 		 	"dfib djqcrf dsFbkb dhfujd afhfjyf bp [city_name].  gjxnb ckexfqyj,"
PHRASE_egyptian_city_attacked_comply_reason_P_C 		 	"d bnjut dfib djqcrf dct-nfrb dsFbkb dhfujd afhfjyf bp [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_A  		 	"gjcrjkmre dfib djqcrf ghbFskb djdhtvz d [city_name],"
PHRASE_egyptian_city_attacked_comply_reason_C_B  		 	"dfib djqcrf ghbFskb djdhtvz d [city_name].  dljFfdjr,"
