;TAX RATE AND CITY WIDE TAX COVERAGE EFFECTS ON CITY SENTIMENT
;ROWS REPRESENT TAX RATE

;COLUMNS REPRESENT CITY WIDE TAX COVERAGE AS FOLLOWS:
;,0%,<10%,<20%,<30%,<40%,<50%,<60%,<70%,<80%,<90%,<=100%,,

0%,{,4,4,4,4,4,4,4,4,4,4,4,}
1%,{,4,4,4,3,3,3,3,3,3,4,3,}
2%,{,4,4,3,3,3,3,3,3,3,3,3,}
3%,{,4,4,3,2,2,2,2,2,3,3,2,}
4%,{,4,3,3,2,2,2,2,2,2,2,2,}
5%,{,4,3,2,2,1,1,1,2,2,2,2,}
6%,{,4,3,2,1,1,1,1,1,1,2,1,}
7%,{,4,2,2,1,1,1,1,1,1,1,1,}
8%,{,4,2,2,1,1,1,1,1,1,1,1,}
9%,{,4,2,2,1,1,0,0,1,1,1,1,}
10%,{,4,2,1,1,1,0,0,0,1,0,0,}
11%,{,4,2,1,1,0,-1,-1,0,0,0,0,}
12%,{,4,2,1,0,0,-1,-1,-1,0,0,-1,}
13%,{,4,2,1,0,-1,-2,-2,-1,-1,-1,-1,}
14%,{,4,2,1,0,-1,-2,-2,-2,-1,-1,-2,}
15%,{,4,2,1,-1,-2,-3,-3,-2,-2,-2,-2,}
16%,{,4,2,0,-1,-2,-4,-3,-3,-3,-3,-3,}
17%,{,4,2,0,-1,-3,-4,-4,-3,-3,-3,-3,}
18%,{,4,2,0,-2,-3,-4,-4,-4,-3,-3,-4,}
19%,{,4,2,0,-2,-4,-5,-5,-4,-4,-4,-4,}
20%,{,4,2,0,-2,-4,-5,-5,-5,-4,-4,-4,}
21%,{,4,2,0,-2,-4,-5,-5,-5,-5,-4,-5,}
22%,{,4,2,0,-3,-5,-6,-6,-5,-5,-5,-5,}
23%,{,4,2,-1,-3,-5,-6,-6,-6,-5,-5,-5,}
24%,{,4,2,-1,-3,-6,-7,-6,-6,-5,-5,-5,}
25%,{,4,2,-1,-4,-7,-8,-7,-6,-6,-6,-6,}
