;TAX RATE AND CITY WIDE TAX COVERAGE EFFECTS ON CITY SENTIMENT
;ROWS REPRESENT TAX RATE

;COLUMNS REPRESENT CITY WIDE TAX COVERAGE AS FOLLOWS:
;,0%,<10%,<20%,<30%,<40%,<50%,<60%,<70%,<80%,<90%,<=100%,,

0%,{,2,2,2,2,2,2,2,2,2,2,2,}
1%,{,2,2,2,1,1,1,1,1,1,2,1,}
2%,{,2,2,1,1,1,1,1,1,1,1,1,}
3%,{,2,2,1,0,0,0,0,0,1,1,0,}
4%,{,2,1,1,0,0,0,0,0,0,0,0,}
5%,{,2,1,0,0,-1,-1,-1,0,0,0,0,}
6%,{,2,1,0,-1,-1,-1,-1,-1,-1,0,-1,}
7%,{,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,}
8%,{,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,}
9%,{,2,0,0,-1,-1,-2,-2,-1,-1,-1,-1,}
10%,{,2,0,-1,-1,-1,-2,-2,-2,-1,-2,-2,}
11%,{,2,0,-1,-1,-2,-3,-3,-2,-2,-2,-2,}
12%,{,2,0,-1,-2,-2,-3,-3,-3,-2,-2,-3,}
13%,{,2,0,-1,-2,-3,-4,-4,-3,-3,-3,-3,}
14%,{,2,0,-1,-2,-3,-4,-4,-4,-3,-3,-4,}
15%,{,2,0,-1,-3,-4,-5,-5,-4,-4,-4,-4,}
16%,{,2,0,-2,-3,-4,-6,-5,-5,-5,-5,-5,}
17%,{,2,0,-2,-3,-5,-6,-6,-5,-5,-5,-5,}
18%,{,2,0,-2,-4,-5,-6,-6,-6,-5,-5,-6,}
19%,{,2,0,-2,-4,-6,-7,-7,-6,-6,-6,-6,}
20%,{,2,0,-2,-4,-6,-7,-7,-7,-6,-6,-6,}
21%,{,2,0,-2,-4,-6,-7,-7,-7,-7,-6,-7,}
22%,{,2,0,-2,-5,-7,-8,-8,-7,-7,-7,-7,}
23%,{,2,0,-3,-5,-7,-8,-8,-8,-7,-7,-7,}
24%,{,2,0,-3,-5,-8,-9,-8,-8,-7,-7,-7,}
25%,{,2,0,-3,-6,-9,-10,-9,-8,-8,-8,-8,}
