;TAX RATE AND CITY WIDE TAX COVERAGE EFFECTS ON CITY SENTIMENT
;ROWS REPRESENT TAX RATE

;COLUMNS REPRESENT CITY WIDE TAX COVERAGE AS FOLLOWS:
;,0%,<10%,<20%,<30%,<40%,<50%,<60%,<70%,<80%,<90%,<=100%,,

0%,{,1,1,1,1,1,1,1,1,1,1,1,}
1%,{,1,1,1,0,0,0,0,0,0,1,0,}
2%,{,1,1,0,0,0,0,0,0,0,0,0,}
3%,{,1,1,0,-1,-1,-1,-1,-1,0,0,-1,}
4%,{,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,}
5%,{,1,0,-1,-1,-2,-2,-2,-1,-1,-1,-1,}
6%,{,1,0,-1,-2,-2,-2,-2,-2,-2,-1,-2,}
7%,{,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,}
8%,{,1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,}
9%,{,1,-1,-1,-2,-2,-3,-3,-2,-2,-2,-2,}
10%,{,1,-1,-2,-2,-2,-3,-3,-3,-2,-3,-3,}
11%,{,1,-1,-2,-2,-3,-4,-4,-3,-3,-3,-3,}
12%,{,1,-1,-2,-3,-3,-4,-4,-4,-3,-3,-4,}
13%,{,1,-1,-2,-3,-4,-5,-5,-4,-4,-4,-4,}
14%,{,1,-1,-2,-3,-4,-5,-5,-5,-4,-4,-5,}
15%,{,1,-1,-2,-4,-5,-6,-6,-5,-5,-5,-5,}
16%,{,1,-1,-3,-4,-5,-7,-6,-6,-6,-6,-6,}
17%,{,1,-1,-3,-4,-6,-7,-7,-6,-6,-6,-6,}
18%,{,1,-1,-3,-5,-6,-7,-7,-7,-6,-6,-7,}
19%,{,1,-1,-3,-5,-7,-8,-8,-7,-7,-7,-7,}
20%,{,1,-1,-3,-5,-7,-8,-8,-8,-7,-7,-7,}
21%,{,1,-1,-3,-5,-7,-8,-8,-8,-8,-7,-8,}
22%,{,1,-1,-3,-6,-8,-9,-9,-8,-8,-8,-8,}
23%,{,1,-1,-4,-6,-8,-9,-9,-9,-8,-8,-8,}
24%,{,1,-1,-4,-6,-9,-10,-9,-9,-8,-8,-8,}
25%,{,1,-1,-4,-7,-10,-11,-10,-9,-9,-9,-9,}
