;TAX RATE AND CITY WIDE TAX COVERAGE EFFECTS ON CITY SENTIMENT
;ROWS REPRESENT TAX RATE

;COLUMNS REPRESENT CITY WIDE TAX COVERAGE AS FOLLOWS:
;,0%,<10%,<20%,<30%,<40%,<50%,<60%,<70%,<80%,<90%,<=100%,,

0%,{,3,3,3,3,3,3,3,3,3,3,3,}
1%,{,3,3,3,2,2,2,2,2,2,3,2,}
2%,{,3,3,2,2,2,2,2,2,2,2,2,}
3%,{,3,3,2,1,1,1,1,1,2,2,1,}
4%,{,3,2,2,1,1,1,1,1,1,1,1,}
5%,{,3,2,1,1,0,0,0,1,1,1,1,}
6%,{,3,2,1,0,0,0,0,0,0,1,0,}
7%,{,3,1,1,0,0,0,0,0,0,0,0,}
8%,{,3,1,1,0,0,0,0,0,0,0,0,}
9%,{,3,1,1,0,0,-1,-1,0,0,0,0,}
10%,{,3,1,0,0,0,-1,-1,-1,0,-1,-1,}
11%,{,3,1,0,0,-1,-2,-2,-1,-1,-1,-1,}
12%,{,3,1,0,-1,-1,-2,-2,-2,-1,-1,-2,}
13%,{,3,1,0,-1,-2,-3,-3,-2,-2,-2,-2,}
14%,{,3,1,0,-1,-2,-3,-3,-3,-2,-2,-3,}
15%,{,3,1,0,-2,-3,-4,-4,-3,-3,-3,-3,}
16%,{,3,1,-1,-2,-3,-5,-4,-4,-4,-4,-4,}
17%,{,3,1,-1,-2,-4,-5,-5,-4,-4,-4,-4,}
18%,{,3,1,-1,-3,-4,-5,-5,-5,-4,-4,-5,}
19%,{,3,1,-1,-3,-5,-6,-6,-5,-5,-5,-5,}
20%,{,3,1,-1,-3,-5,-6,-6,-6,-5,-5,-5,}
21%,{,3,1,-1,-3,-5,-6,-6,-6,-6,-5,-6,}
22%,{,3,1,-1,-4,-6,-7,-7,-6,-6,-6,-6,}
23%,{,3,1,-2,-4,-6,-7,-7,-7,-6,-6,-6,}
24%,{,3,1,-2,-4,-7,-8,-7,-7,-6,-6,-6,}
25%,{,3,1,-2,-5,-8,-9,-8,-7,-7,-7,-7,}
