;TAX RATE AND CITY WIDE TAX COVERAGE EFFECTS ON CITY SENTIMENT
;ROWS REPRESENT TAX RATE

;COLUMNS REPRESENT CITY WIDE TAX COVERAGE AS FOLLOWS:
;,0%,<10%,<20%,<30%,<40%,<50%,<60%,<70%,<80%,<90%,<=100%,,

0%,{,6,6,6,6,6,6,6,6,6,6,6,}
1%,{,6,6,6,5,5,5,5,5,5,6,5,}
2%,{,6,6,5,5,5,5,5,5,5,5,5,}
3%,{,6,6,5,4,4,4,4,4,5,5,4,}
4%,{,6,5,5,4,4,4,4,4,4,4,4,}
5%,{,6,5,4,4,3,3,3,4,4,4,4,}
6%,{,6,5,4,3,3,3,3,3,3,4,3,}
7%,{,6,4,4,3,3,3,3,3,3,3,3,}
8%,{,6,4,4,3,3,3,3,3,3,3,3,}
9%,{,6,4,4,3,3,2,2,3,3,3,3,}
10%,{,6,4,3,3,3,2,2,2,3,2,2,}
11%,{,6,4,3,3,2,1,1,2,2,2,2,}
12%,{,6,4,3,2,2,1,1,1,2,2,1,}
13%,{,6,4,3,2,1,0,0,1,1,1,1,}
14%,{,6,4,3,2,1,0,0,0,1,1,0,}
15%,{,6,4,3,1,0,-1,-1,0,0,0,0,}
16%,{,6,4,2,1,0,-2,-1,-1,-1,-1,-1,}
17%,{,6,4,2,1,-1,-2,-2,-1,-1,-1,-1,}
18%,{,6,4,2,0,-1,-2,-2,-2,-1,-1,-2,}
19%,{,6,4,2,0,-2,-3,-3,-2,-2,-2,-2,}
20%,{,6,4,2,0,-2,-3,-3,-3,-2,-2,-2,}
21%,{,6,4,2,0,-2,-3,-3,-3,-3,-2,-3,}
22%,{,6,4,2,-1,-3,-4,-4,-3,-3,-3,-3,}
23%,{,6,4,1,-1,-3,-4,-4,-4,-3,-3,-3,}
24%,{,6,4,1,-1,-4,-5,-4,-4,-3,-3,-3,}
25%,{,6,4,1,-2,-5,-6,-5,-4,-4,-4,-4,}
